Wall time,Step,Value
1698334685.4292314,300,51.226295471191406
1698334719.8243139,400,53.00525665283203
1698334926.1866677,1000,45.057029724121094
1698335306.8876357,1400,41.23908615112305
1698335341.6066546,1500,42.126007080078125
1698335445.6678736,1800,40.800811767578125
1698335480.3604882,1900,39.70233917236328
1698335515.0786867,2000,41.38170623779297
1698335832.9914646,2200,43.77595901489258
1698335867.6189792,2300,40.046051025390625
1698335972.282977,2600,42.20521545410156
1698336006.9415016,2700,37.85170364379883
1698336476.6383262,3300,40.740089416503906
1698336650.8478432,3800,41.09617233276367
1698336720.1795464,4000,38.469276428222656
1698337239.987508,4700,37.65582275390625
1698337274.6082716,4800,39.50406265258789
1698337309.2365263,4900,37.26436233520508
1698337660.7658455,5100,37.26103210449219
1698337764.5638783,5400,39.448795318603516
1698337868.4482543,5700,34.296260833740234
1698337972.1936858,6000,39.63352966308594
1698338289.8177264,6100,38.590614318847656
1698338325.4134579,6200,41.43450927734375
1698338360.1206656,6300,41.31399154663086
1698338429.5995064,6500,37.58960723876953
1698338464.3465745,6600,38.774845123291016
1698338499.0923133,6700,37.1395263671875
1698338533.820117,6800,37.2348518371582
1698338603.3010728,7000,36.01003646850586
1698338923.4130185,7100,38.7615966796875
1698339132.568596,7700,42.355674743652344
1698339201.968323,7900,39.18152618408203
1698339236.6915314,8000,38.98552703857422
1698339592.7581604,8200,37.381858825683594
1698339696.8043306,8500,41.23893356323242
1698339836.3599286,8900,36.63388442993164
1698340473.4767869,9900,35.86271667480469
1698340508.7968984,10000,37.70038986206055
1698340902.1554382,10300,37.87866973876953
1698341006.1858287,10600,36.63325500488281
1698341040.8320198,10700,36.34560012817383
1698341110.1078916,10900,37.33759689331055
1698341646.1692088,11600,39.0443000793457
1698342112.2908332,12100,39.8232421875
1698342251.7967842,12500,35.73931884765625
1698342286.4714632,12600,38.5462532043457
1698342355.8090754,12800,36.15825271606445
1698342425.1779604,13000,37.62577819824219
1698342755.2507641,13100,37.11328887939453
1698342930.31028,13600,37.152976989746094
1698342965.00888,13700,36.959754943847656
1698343501.966447,14400,38.603004455566406
1698343571.476297,14600,33.33946228027344
1698343606.2067297,14700,37.36878204345703
1698343711.8365407,15000,37.410526275634766
1698344251.0685484,15700,41.91429901123047
1698344356.0570428,16000,37.20513916015625
1698344718.0726712,16200,31.483673095703125
1698344787.439665,16400,39.07256317138672
1698344995.6296806,17000,38.13262939453125
1698345325.8122811,17100,31.537120819091797
1698345361.323273,17200,34.207611083984375
1698345465.3975527,17500,38.658103942871094
1698345500.0785456,17600,34.26205825805664
1698345534.7387,17700,33.74335479736328
1698345970.2912886,18100,36.0518798828125
1698346074.381048,18400,32.58867645263672
1698346110.000805,18500,38.74906921386719
1698346144.6593764,18600,37.19012451171875
1698346283.418365,19000,37.71441650390625
1698346616.1071174,19100,36.46211242675781
1698346650.8325,19200,34.99809646606445
1698346754.9365027,19500,39.214202880859375
1698346894.8464665,19900,39.27373123168945
1698347301.0441926,20200,34.35895919799805
1698347335.7791364,20300,33.803123474121094
1698347370.5382743,20400,36.60310363769531
1698347405.2617648,20500,36.3886604309082
1698347474.7639134,20700,36.50968933105469
1698347545.049012,20900,37.84730911254883
1698347916.0423934,21100,33.84376525878906
1698347985.3460102,21300,36.96903991699219
1698348054.7052746,21500,36.174560546875
1698348089.372509,21600,35.65418243408203
1698348193.3779728,21900,35.53022766113281
1698348228.0279992,22000,34.869903564453125
1698348567.4589016,22100,37.435184478759766
1698348602.188028,22200,35.478023529052734
1698348671.6722717,22400,36.73163604736328
1698348845.3127189,22900,37.49665832519531
1698349428.4903343,23700,35.867088317871094
1698349497.9559677,23900,36.51445007324219
1698349871.9837782,24100,34.7423210144043
1698349976.1372743,24400,34.86168670654297
1698350010.850165,24500,36.08635711669922
1698350046.4666345,24600,38.139739990234375
1698350596.8631904,25300,36.13216018676758
1698350631.5430095,25400,39.509010314941406
1698350771.0927317,25800,36.78050994873047
1698350805.7576754,25900,34.12166976928711
1698350840.4446635,26000,39.93376159667969
1698351214.8694282,26200,35.87705612182617
1698351492.9892309,27000,32.922584533691406
1698351833.5288656,27100,33.92955017089844
1698351937.700009,27400,32.52402877807617
1698352007.1595395,27600,33.175880432128906
1698352076.612402,27800,36.723976135253906
1698352146.0495207,28000,36.282981872558594
1698352521.6805294,28200,35.9010124206543
1698352557.311126,28300,36.198482513427734
1698352626.790345,28500,33.822052001953125
1698352696.292154,28700,35.995948791503906
1698352731.0143511,28800,35.23012924194336
1698352800.5270677,29000,35.18556213378906
1698353282.2459447,29500,32.736663818359375
1698353316.945042,29600,32.62031555175781
1698353351.66515,29700,33.93088912963867
1698353386.3591871,29800,33.769248962402344
1698353971.0689232,30600,32.877262115478516
1698354041.3288155,30800,34.75151824951172
1698354076.0512915,30900,36.98938751220703
1698354487.2097838,31200,36.563201904296875
1698354625.875142,31600,31.26165008544922
1698354695.1986997,31800,33.32761764526367
1698354729.8676076,31900,33.70390701293945
1698355141.4169812,32200,35.434852600097656
1698355210.8467102,32400,32.15497589111328
1698355384.4677875,32900,33.923397064208984
1698355759.3667443,33100,36.48471450805664
1698355794.9770982,33200,32.631526947021484
1698355968.6967707,33700,34.786376953125
1698356003.4502168,33800,32.70783233642578
1698356072.9510689,34000,37.1046142578125
1698356483.9469311,34300,35.518272399902344
1698356554.2303994,34500,36.200538635253906
1698356588.9667506,34600,32.268070220947266
1698356728.430371,35000,34.32096862792969
1698357104.7008953,35200,32.70831298828125
1698357139.392904,35300,34.44852066040039
1698357174.1251502,35400,32.31840896606445
1698357313.8596435,35800,33.8465690612793
1698357758.0720708,36200,32.768611907958984
1698357792.7632241,36300,30.070167541503906
1698357827.468195,36400,33.206722259521484
1698357862.1063936,36500,33.55750274658203
1698357896.7617288,36600,37.27967071533203
1698357931.41515,36700,32.43751525878906
1698358480.58856,37400,36.2097282409668
1698358584.5623705,37700,35.434349060058594
1698358619.2050838,37800,33.747840881347656
1698359219.397714,38600,33.49405288696289
1698359358.2803361,39000,35.245731353759766
1698359699.9407694,39100,34.16094207763672
1698359734.6288831,39200,33.9189567565918
1698359770.2434568,39300,33.53205108642578
1698359804.9166796,39400,33.09257507324219
1698359909.0406065,39700,34.3717041015625
1698360391.4318466,40200,33.48297882080078
1698360460.8591769,40400,33.57959747314453
1698360600.745157,40800,36.592933654785156
1698360635.484318,40900,31.646739959716797
1698361079.3407142,41300,30.40673065185547
1698361113.9455023,41400,31.782556533813477
1698361148.5476098,41500,33.398231506347656
1698361253.3954775,41800,33.40354919433594
1698361662.2686598,42100,36.371559143066406
1698361696.867313,42200,37.14269256591797
1698361800.7292798,42500,32.16239929199219
1698361835.2694845,42600,34.31472396850586
1698361974.4364402,43000,34.05284881591797
1698362452.1925118,43500,32.027767181396484
1698362486.7622817,43600,33.3543701171875
1698362521.3557358,43700,33.775108337402344
1698362590.5054002,43900,34.55674743652344
1698362625.1291106,44000,35.33295822143555
1698362963.7387514,44100,37.215065002441406
1698363033.8179488,44300,39.02804183959961
1698363068.3906696,44400,35.412353515625
1698363103.0394607,44500,35.37751770019531
1698363137.6301591,44600,33.06789779663086
1698363276.692801,45000,32.49225616455078
1698363651.3783143,45200,35.72104263305664
1698363685.9340692,45300,34.32544708251953
1698363721.4079926,45400,35.00969314575195
1698363790.52949,45600,34.5451774597168
1698363928.7889667,46000,30.80101776123047
1698364266.264975,46100,36.23252487182617
1698364404.6626296,46500,36.37570571899414
1698364439.25203,46600,30.66611671447754
1698364509.415288,46800,33.779178619384766
1698364578.7042184,47000,34.05146026611328
1698365020.8747823,47400,34.52531051635742
1698365055.4604554,47500,31.86092758178711
1698365159.2252638,47800,31.159332275390625
1698365194.7120638,47900,33.84986877441406
1698365229.3008766,48000,31.323522567749023
1698365568.755135,48100,33.45957946777344
1698365637.8969824,48300,33.462989807128906
1698365672.486747,48400,33.57134246826172
1698365776.3353746,48700,33.73566818237305
1698365810.8994224,48800,31.590312957763672
1698365845.4766662,48900,34.92707061767578
1698366219.5916436,49100,32.252532958984375
1698366323.3907976,49400,32.76298141479492
1698366461.7187226,49800,34.54655075073242
1698366904.479875,50200,33.441017150878906
1698366939.0361586,50300,30.510700225830078
1698367043.78634,50600,35.937904357910156
1698367147.58084,50900,30.731887817382812
1698367182.1587038,51000,34.104774475097656
1698367521.1093247,51100,33.93426513671875
1698367555.7424507,51200,33.31321716308594
1698367590.400401,51300,35.8118896484375
1698367625.082198,51400,34.75525665283203
